1,11
1,22
1,27
1,59
1,1051
1,1069
1,1076
1,1078
1,1080
1,1081
1,1084
1,1089
1,1092
1,1097
1,1100
1,1152
1,1171
1,1202
1,1242
1,1250
1,1273
1,1276
1,1287
1,1298
1,1301
1,1304
1,1314
1,1325
1,1336
2,2
2,19
2,23
2,29
2,50
2,115
2,127
2,148
2,186
2,214
2,246
2,280
2,330
2,380
2,431
2,480
2,1035
2,1037
2,1046
2,1048
2,1054
2,1055
2,1057
2,1064
2,1072
2,1251
2,1285
2,1296
3,1
3,2
3,5
3,6
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,47
3,50
3,127
3,141
3,160
3,186
3,204
3,237
3,266
3,300
3,316
3,350
3,366
3,400
3,417
3,466
3,1035
3,1036
3,1037
3,1039
3,1343
3,1361
4,1
4,5
4,25
4,27
5,2
5,13
5,19
5,23
5,27
5,29
5,32
5,33
5,46
5,50
5,52
5,53
5,54
5,87
5,115
5,116
5,127
5,148
5,166
5,175
5,186
5,190
5,197
5,214
5,222
5,230
5,246
5,269
5,275
5,280
5,298
5,319
5,325
5,330
5,348
5,369
5,375
5,380
5,398
5,420
5,426
5,431
5,449
5,469
5,475
5,480
5,492
5,497
5,555
5,596
5,666
5,701
5,1008
5,1020
5,1031
5,1035
5,1037
5,1041
5,1046
5,1048
5,1049
5,1054
5,1055
5,1057
5,1064
5,1072
5,1251
5,1285
5,1296
5,1363
5,1368
5,1372
5,1393
5,1396
5,1400
5,1413
5,1415
5,1464
5,1487
5,1496
5,1497
5,1498
6,25
6,1274
6,1302
7,1
7,1262
7,1274
7,1302
7,1333
8,2
8,23
9,1
9,6
9,11
9,30
9,189
9,522
9,1021
9,1037
9,1048
9,1050
9,1054
9,1057
9,1058
9,1059
9,1061
9,1067
9,1070
9,1073
9,1076
9,1078
9,1080
9,1081
9,1083
9,1085
9,1090
9,1091
9,1093
9,1094
9,1096
9,1097
9,1099
9,1101
9,1104
9,1105
9,1109
9,1110
9,1111
9,1113
9,1116
9,1119
9,1121
9,1130
9,1134
9,1147
9,1151
9,1168
9,1172
9,1176
9,1179
9,1185
9,1188
9,1189
9,1191
9,1194
9,1197
9,1202
9,1209
9,1215
9,1216
9,1220
9,1222
9,1224
9,1228
9,1229
9,1234
9,1240
9,1242
9,1244
9,1248
9,1249
9,1251
9,1262
9,1273
9,1274
9,1296
9,1301
9,1302
9,1331
9,1332
10,1
10,17
10,18
10,19
10,20
10,27
10,1036
10,1343
