1,47,1.0000
1,24,0.8946
1,20,0.8703
1,14,0.8198
1,6,0.7327
1,19,0.7175
1,22,0.7161
1,11,0.7088
1,17,0.6782
1,26,0.6775
2,1333,1.0000
2,1,0.9632
2,1274,0.8818
2,25,0.8384
2,1302,0.7168
2,1262,0.7038
2,127,0.6481
2,1363,0.5302
2,19,0.4894
2,16,0.4890
3,50,1.0000
3,127,0.6851
3,148,0.6827
3,2,0.6658
3,186,0.6146
3,115,0.6080
3,19,0.5619
3,1037,0.5556
3,380,0.5299
3,330,0.5066
4,23,1.0000
4,2,0.7362
4,1035,0.5203
4,1,0.2935
4,1168,0.1544
4,1209,0.1350
4,1196,0.1341
4,1073,0.1308
4,1142,0.1295
4,1240,0.1288
5,18,1.0000
5,64,0.6323
5,1351,0.5776
5,1274,0.4778
5,468,0.4416
5,1251,0.4404
5,1312,0.4352
5,32,0.4277
5,1320,0.4119
5,20,0.4071
6,5,1.0000
6,1,0.9450
6,27,0.7002
6,25,0.4937
6,287,0.4039
6,337,0.3962
6,255,0.3807
6,355,0.3795
6,1274,0.3775
6,1302,0.3701
7,822,1.0000
7,833,0.9413
7,843,0.9413
7,853,0.9413
7,863,0.9413
7,873,0.9413
7,883,0.9413
7,893,0.9413
7,903,0.9413
7,913,0.9413
8,23,1.0000
8,2,0.9979
8,401,0.4728
8,719,0.2219
8,712,0.1851
8,536,0.1829
8,1436,0.1778
8,1293,0.1701
8,1259,0.1691
8,229,0.1672
9,2,1.0000
9,1168,0.2540
9,1209,0.2454
9,1249,0.2410
9,1158,0.2384
9,1240,0.2342
9,1220,0.2306
9,1229,0.2294
9,1244,0.2246
9,1215,0.2243
10,547,1.0000
10,1311,0.7842
10,535,0.6963
10,1030,0.6346
10,1301,0.5893
10,1047,0.5709
10,1251,0.5072
10,1041,0.4769
10,1,0.4681
10,1036,0.4391
